                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     37,                0.51238,                0.58798,                0.93806,                0.94012,                      1,                  0.995,                0.90137,                0.44399,                0.54325,                0.81808,              0.0015248,              0.0015248,              0.0015248
                     38,                0.49384,                0.56636,                0.90797,                0.98411,                      1,                  0.995,                0.92006,                0.44326,                 0.4646,                0.82637,              0.0015116,              0.0015116,              0.0015116
                     39,                0.47813,                0.55568,                0.88284,                0.98774,                      1,                  0.995,                 0.8955,                0.47781,                0.42622,                0.83488,              0.0014984,              0.0014984,              0.0014984
                     40,                0.48464,                0.54594,                0.88362,                0.98934,                      1,                  0.995,                0.91179,                0.39217,                0.43835,                0.81094,              0.0014852,              0.0014852,              0.0014852
                     41,                0.53393,                 0.6144,                 0.9271,                0.98808,                      1,                  0.995,                0.92032,                0.38397,                0.46747,                0.80614,               0.001472,               0.001472,               0.001472
                     42,                0.50765,                0.61129,                0.90469,                0.98204,                      1,                  0.995,                0.90781,                0.47146,                0.46304,                0.82049,              0.0014588,              0.0014588,              0.0014588
                     43,                0.49939,                0.53382,                0.88356,                0.98324,                      1,                  0.995,                0.94509,                0.43736,                0.49398,                0.81703,              0.0014456,              0.0014456,              0.0014456
                     44,                0.47438,                0.55843,                  0.896,                0.98253,                      1,                  0.995,                0.93265,                0.35751,                0.57017,                0.80482,              0.0014324,              0.0014324,              0.0014324
                     45,                0.52553,                0.54947,                0.91377,                0.98488,                      1,                  0.995,                0.87881,                0.42689,                0.52147,                 0.8153,              0.0014192,              0.0014192,              0.0014192
                     46,                0.50586,                0.55639,                0.92181,                0.98025,                      1,                  0.995,                0.90169,                0.37791,                0.58048,                0.80948,               0.001406,               0.001406,               0.001406
                     47,                0.50317,                0.51242,                0.90172,                0.98194,                      1,                  0.995,                0.96381,                0.33352,                0.45951,                0.80506,              0.0013928,              0.0013928,              0.0013928
                     48,                0.47127,                0.53859,                0.91447,                0.98826,                      1,                  0.995,                0.85194,                0.50241,                0.44297,                0.82921,              0.0013796,              0.0013796,              0.0013796
                     49,                0.49782,                0.48826,                0.89506,                0.98909,                      1,                  0.995,                0.85217,                0.45779,                0.51021,                0.82431,              0.0013664,              0.0013664,              0.0013664
                     50,                0.49404,                0.51194,                0.88455,                0.98713,                      1,                  0.995,                0.92859,                 0.3921,                0.37466,                0.81505,              0.0013532,              0.0013532,              0.0013532
                     51,                0.47957,                0.48109,                0.91288,                 0.9892,                      1,                  0.995,                0.85807,                0.49391,                0.42691,                0.83229,                0.00134,                0.00134,                0.00134
                     52,                0.49265,                0.47936,                0.89306,                0.98903,                      1,                  0.995,                0.90374,                0.41231,                0.36113,                0.81327,              0.0013268,              0.0013268,              0.0013268
                     53,                0.45605,                 0.4975,                 0.8937,                 0.9884,                      1,                  0.995,                 0.9286,                0.37516,                0.33723,                 0.8067,              0.0013136,              0.0013136,              0.0013136
                     54,                0.47086,                0.46717,                 0.9153,                0.98648,                      1,                  0.995,                 0.9451,                0.36247,                0.33209,                0.80724,              0.0013004,              0.0013004,              0.0013004
                     55,                0.42658,                0.45947,                0.90358,                 0.9863,                      1,                  0.995,                0.92007,                0.40067,                0.33138,                0.81943,              0.0012872,              0.0012872,              0.0012872
                     56,                0.45142,                0.46214,                0.87444,                0.98923,                      1,                  0.995,                 0.9451,                0.41207,                0.39795,                0.82353,               0.001274,               0.001274,               0.001274
                     57,                0.44592,                0.48205,                0.88803,                0.98924,                      1,                  0.995,                0.90374,                0.39012,                0.33091,                0.81082,              0.0012608,              0.0012608,              0.0012608
                     58,                0.43695,                0.46137,                0.90494,                0.98918,                      1,                  0.995,                0.96381,                0.37844,                0.31244,                0.80521,              0.0012476,              0.0012476,              0.0012476
                     59,                0.39845,                0.42055,                0.86317,                0.98933,                      1,                  0.995,                0.97006,                0.36183,                0.29899,                0.80249,              0.0012344,              0.0012344,              0.0012344
                     60,                0.42919,                0.43436,                0.91814,                0.98843,                      1,                  0.995,                 0.8955,                0.36838,                 0.2835,                0.79972,              0.0012212,              0.0012212,              0.0012212
                     61,                0.42686,                0.45955,                0.89995,                0.98857,                      1,                  0.995,                0.96384,                 0.3097,                0.27247,                  0.792,               0.001208,               0.001208,               0.001208
                     62,                0.46337,                0.45772,                0.91539,                0.98889,                      1,                  0.995,                0.94514,                0.32159,                0.27951,                0.79852,              0.0011948,              0.0011948,              0.0011948
                     63,                0.41332,                0.44864,                0.89007,                0.98892,                      1,                  0.995,                  0.995,                0.31282,                0.27874,                0.79853,              0.0011816,              0.0011816,              0.0011816
                     64,                0.43188,                0.44494,                0.87807,                0.98879,                      1,                  0.995,                0.92037,                0.34278,                0.31742,                0.80061,              0.0011684,              0.0011684,              0.0011684
                     65,                0.44474,                0.45001,                0.89914,                0.98898,                      1,                  0.995,                0.92861,                0.35629,                0.28414,                0.80519,              0.0011552,              0.0011552,              0.0011552
                     66,                0.41154,                0.39957,                0.87758,                0.98919,                      1,                  0.995,                0.94512,                0.39347,                0.26133,                0.80685,               0.001142,               0.001142,               0.001142
                     67,                0.40564,                0.39198,                0.87853,                0.98881,                      1,                  0.995,                 0.9701,                0.32751,                0.23885,                0.80232,              0.0011288,              0.0011288,              0.0011288
                     68,                0.41631,                0.41398,                0.87408,                0.98884,                      1,                  0.995,                  0.995,                0.30836,                0.30958,                0.79796,              0.0011156,              0.0011156,              0.0011156
                     69,                0.38338,                0.39667,                0.86917,                0.98916,                      1,                  0.995,                0.96388,                0.33662,                0.30538,                0.80059,              0.0011024,              0.0011024,              0.0011024
                     70,                0.42178,                0.38845,                0.89953,                0.98945,                      1,                  0.995,                0.93268,                0.38085,                0.29732,                0.80324,              0.0010892,              0.0010892,              0.0010892
                     71,                0.39004,                0.39526,                0.86822,                0.98945,                      1,                  0.995,                0.96389,                0.36842,                0.29723,                0.80315,               0.001076,               0.001076,               0.001076
